,Bahan
149,"['tauge', 'kacang tanah', 'jeruk nipis', 'lontong', 'cabai rawit', 'kecap manis', 'seledri', 'bawang putih', 'bawang merah', 'tahu kulit']"
150,"['cabai rawit merah', 'cabai bubuk', 'daun jeruk', 'sambal', 'merica bubuk', 'daun bawang', 'kaldu ayam bubuk', 'kulit lumpia', 'tepung tapioka', 'bawang putih', 'kencur']"
151,"['daun selada', 'acar', 'keriting', 'ayam', 'rawit', 'pangsit', 'kecap asin', 'gulung', 'mie', 'sambal', 'jahe', 'daun bawang', 'timun', 'seledri', 'bawang putih']"
152,"['ragi instant', 'tepung terigu', 'butter', 'kacang', 'cokelat', 'susu']"
153,"['susu kental manis', 'telur', 'daun pandan', 'santan', 'merah']"
154,"['cabai rawit merah', 'andaliman', 'cabai merah', 'kemiri', 'ikan teri', 'tomat', 'bawang putih']"
155,"['vanili', 'tepung terigu', 'pasta', 'susu kental manis', 'bubuk', 'santan', 'pandan', 'tepung tapioka']"
156,"['cabai rawit merah', 'kaldu jamur', 'petai', 'bubuk', 'belut', 'jeruk nipis', 'cabai merah', 'kunyit', 'bawang putih', 'bawang merah']"
157,"['kaldu jamur', 'saus tiram', 'kol', 'telur', 'mie', 'kecap manis', 'cabai rawit', 'bakso sapi', 'bawang merah', 'sagu', 'saus tomat']"
158,"['asam jawa', 'lengkuas', 'daun salam', 'jeruk nipis', 'jahe', 'kunyit', 'kemiri', 'puyuh', 'bawang putih', 'bawang merah', 'burung', 'merah']"
159,"['sedap', 'tauge', 'pala', 'kecap asin', 'mie', 'merica bubuk', 'jahe', 'tahu', 'seledri', 'putih', 'cuka', 'bawang merah', 'serai', 'bawang putih']"
160,"['rebung', 'cabai merah keriting', 'cabai hijau', 'daun salam', 'ebi', 'kaldu ayam bubuk', 'kemiri', 'bawang putih', 'bawang merah']"
161,"['smoked beef', 'daun jeruk', 'bubuk', 'jeruk nipis', 'merica bubuk', 'jahe', 'beras', 'tomat', 'putih', 'bawang putih', 'bawang merah', 'serai', 'seledri', 'merah', 'kaldu sapi', 'bawang bombay']"
162,"['cabai merah keriting', 'daun jeruk', 'jagung', 'jeruk nipis', 'cabai merah', 'jahe', 'bawang putih', 'bawang merah', 'serai', 'rajungan']"
163,"['lada bubuk', 'jus', 'daun jeruk', 'jagung', 'jeruk nipis', 'jahe', 'tomat', 'cuka', 'bawang putih', 'bawang bombay', 'serai', 'rajungan']"
164,"['telur ayam', 'keju cheddar', 'mentega', 'cake emulsifier', 'tepung maizena', 'tepung terigu', 'persegi', 'keju', 'butter cream', 'kertas', 'susu bubuk', 'essence vanilla', 'kuning telur', 'roti']"
165,"['cabai rawit merah', 'terasi', 'kelapa', 'cabai keriting', 'daun jeruk', 'bubuk', 'daun pandan', 'santan', 'cabai merah', 'jahe', 'beras', 'bawang putih', 'bawang merah', 'serai']"
166,"['persegi', 'pokcoy', 'hoisin', 'sawi putih', 'kertas', 'kaldu udang', 'soun', 'kacang', 'mie', 'timun', 'beras', 'udang', 'bawang putih', 'bawang merah', 'saus']"
167,"['lada', 'olive', 'terong', 'daun', 'thyme', 'zaitun', 'basil', 'tomat', 'zukini', 'bawang putih', 'ungu', 'kulit', 'hitam', 'oregano', 'blansir', 'bawang bombay']"
168,"['daun pepaya', 'serai', 'tiwul', 'instant', 'lengkuas', 'daun salam', 'ketumbar', 'paha ayam', 'bawang putih', 'bawang merah', 'gereh', 'merah', 'pethek']"
169,"['tepung sagu', 'saus tiram', 'tepung terigu', 'dada ayam', 'telur', 'kecap ikan', 'kuning telur', 'bawang putih']"
170,"['kelapa', 'serai', 'ayam kampung', 'lengkuas', 'daun salam', 'teh', 'santan', 'kaldu ayam bubuk', 'beras', 'serai', 'kental']"
171,"['beras', 'ketupat', 'selongsong', 'pulen']"
172,"['jamur hioko', 'wijen', 'ayam', 'kaldu', 'kecap asin', 'merica bubuk', 'daun bawang', 'beras', 'beras ketan putih', 'bawang putih', 'wortel', 'rebusan']"
173,"['saus tiram', 'saus sambal', 'daun jeruk', 'jagung', 'jahe', 'kaldu ayam bubuk', 'daun bawang', 'udang', 'bawang bombay', 'tepung maizena', 'manis', 'saus tomat', 'margarin']"
174,"['saus tiram', 'ayam', 'lobak putih', 'merica bubuk', 'daun bawang', 'wortel']"
175,"['merica bubuk', 'cuciwis', 'bawang putih', 'bawang bombay']"
176,"['bawang merah', 'caisim', 'saus tiram', 'merica', 'acar', 'kol', 'bakso', 'telur', 'sambal', 'mie', 'kecap manis', 'daun bawang', 'kemiri', 'tomat', 'timun', 'kaldu bubuk', 'bawang putih', 'saus tomat']"
177,"['telur ayam', 'kelapa', 'ikan bandeng', 'lengkuas', 'daun pisang', 'cabai merah', 'kunyit', 'bawang putih', 'bawang merah', 'kencur', 'bilah', 'jepit']"
178,"['kayu', 'secang', 'daun pandan', 'kayu manis', 'jahe', 'aren', 'serai', 'batu']"
