,Ingredient1,Ingredient2,f_x,f_y,f_xy,pmi
46079,kecap manis,nangka,858,88,1,-0.11229510224030331
5755,kulit,putih,213,709,2,-0.11235469995574189
1159,kelapa,tepung maizena,487,931,6,-0.1131181194057364
19036,lemon,merah,99,1527,2,-0.11338716306741153
23809,jagung,kencur,252,300,1,-0.11356575044175884
5405,kental,merica bubuk,366,827,4,-0.11449785557930152
60492,asin,kecap manis,76,996,1,-0.11483478614506386
40509,ketumbar,tauge,434,349,2,-0.11532346401702123
10132,cabai merah,kecap asin,1597,332,7,-0.11546115635032216
2734,bawang merah,muda,4710,322,20,-0.11661664727501529
27097,baking powder,giling,538,141,1,-0.11697263881408727
10901,daun salam,nasi,1460,104,2,-0.11778962155794397
141,bawang putih,terong,6536,93,8,-0.1185927762873933
53997,merica bubuk,tawar,455,167,1,-0.1186454196418401
28072,daging giling,jahe,65,1169,1,-0.1186454196418401
34646,bihun,jahe,65,1169,1,-0.1186454196418401
17170,beras ketan,jahe,65,1169,1,-0.1186454196418401
57349,manis,santan,86,1768,2,-0.1191585471652857
6739,cuka,serai,185,2467,6,-0.11970866065376104
37044,cabe,merica,77,988,1,-0.11984230787568621
4139,daun bawang,serbaguna,1463,156,3,-0.11984230787568621
61460,jawa,merica bubuk,92,827,1,-0.11994746034686618
21620,kecap asin,tepung,440,173,1,-0.12042050968422031
21386,bawang,lada,307,496,2,-0.12063068202631386
30390,has,tepung maizena,82,931,1,-0.12333271281545469
8999,cengkeh,susu kental manis,379,403,2,-0.12367977474329851
25991,kunyit,saus,380,201,1,-0.1238303490536417
9139,bawang bombay,sandung lamur,1442,53,1,-0.12443241967115076
40531,emping,serai,31,2467,1,-0.1250995092886375
59823,kaldu bubuk,singkong,638,120,1,-0.12618421440097038
15320,ayam kampung,susu kental manis,190,403,1,-0.1263148223813037
63175,masak,putih,108,709,1,-0.12634094193048176
42318,bubuk,kelapa muda,995,77,1,-0.12690234728641112
2910,bubuk,tepung ketan,995,77,1,-0.12690234728641112
12615,cabai rawit,kecap ikan,1087,141,2,-0.1271437852135669
34839,santan,seledri,419,366,2,-0.1277112610376932
26625,kentang,kunyit,288,1065,4,-0.12775038543371528
59924,asam jawa,daun pandan,710,108,1,-0.12775038543371528
28693,cabai rawit,merica,1087,988,14,-0.12815644352795313
2014,ayam,ketumbar,1727,800,18,-0.12873523619257576
